"","Wk","Date","Home","HomeScore","AwayScore","Away"
"1",1,"2022-11-20","Qatar","0","2","Ecuador"
"2",1,"2022-11-21","England","6","2","Iran"
"3",1,"2022-11-21","Senegal","0","2","Netherlands"
"4",1,"2022-11-21","United","1","1","Wales"
"5",1,"2022-11-22","Argentina","1","2","Arabia"
"6",1,"2022-11-22","Denmark","0","0","Tunisia"
"7",1,"2022-11-22","Mexico","0","0","Poland"
"8",1,"2022-11-22","France","4","1","Australia"
"9",1,"2022-11-23","Morocco","0","0","Croatia"
"10",1,"2022-11-23","Germany","1","2","Japan"
"11",1,"2022-11-23","Spain","7","0","Rica"
"12",1,"2022-11-23","Belgium","1","0","Canada"
"13",1,"2022-11-24","Switzerland","1","0","Cameroon"
"14",1,"2022-11-24","Uruguay","0","0","Republic"
"15",1,"2022-11-24","Portugal","3","2","Ghana"
"16",1,"2022-11-24","Brazil","2","0","Serbia"
"17",2,"2022-11-25","Wales","0","2","Iran"
"18",2,"2022-11-25","Qatar","1","3","Senegal"
"19",2,"2022-11-25","Netherlands","1","1","Ecuador"
"20",2,"2022-11-25","England","0","0","States"
"21",2,"2022-11-26","Tunisia","0","1","Australia"
"22",2,"2022-11-26","Poland","2","0","Arabia"
"23",2,"2022-11-26","France","2","1","Denmark"
"24",2,"2022-11-26","Argentina","2","0","Mexico"
"25",2,"2022-11-27","Japan","0","1","Rica"
"26",2,"2022-11-27","Belgium","0","2","Morocco"
"27",2,"2022-11-27","Croatia","4","1","Canada"
"28",2,"2022-11-27","Spain","1","1","Germany"
"29",2,"2022-11-28","Cameroon","3","3","Serbia"
"30",2,"2022-11-28","Korea","2","3","Ghana"
"31",2,"2022-11-28","Brazil","1","0","Switzerland"
"32",2,"2022-11-28","Portugal","2","0","Uruguay"
"33",3,"2022-11-29","Netherlands","","","Qatar"
"34",3,"2022-11-29","Ecuador","","","Senegal"
"35",3,"2022-11-29","Wales","","","England"
"36",3,"2022-11-29","IR","","","States"
"37",3,"2022-11-30","Tunisia","","","France"
"38",3,"2022-11-30","Australia","","","Denmark"
"39",3,"2022-11-30","Saudi","","","Mexico"
"40",3,"2022-11-30","Poland","","","Argentina"
"41",3,"2022-12-01","Canada","","","Morocco"
"42",3,"2022-12-01","Croatia","","","Belgium"
"43",3,"2022-12-01","Japan","","","Spain"
"44",3,"2022-12-01","Costa","","","Germany"
"45",3,"2022-12-02","Korea","","","Portugal"
"46",3,"2022-12-02","Ghana","","","Uruguay"
"47",3,"2022-12-02","Serbia","","","Switzerland"
"48",3,"2022-12-02","Cameroon","","","Brazil"
