tournament_name,match_name,stage_name,group_name,group_stage,knockout_stage,match_date,city_name,country_name,home_team_name,away_team_name,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,result,home_team_win,away_team_win,draw,winning_team,losing_team,year
1930 FIFA World Cup,France v Mexico,group stage,Group 1,1,0,7/13/1930,Montevideo,Uruguay,France,Mexico,4–1,4,1,3,-3,home team win,1,0,0,France,Mexico,1930
1930 FIFA World Cup,United States v Belgium,group stage,Group 4,1,0,7/13/1930,Montevideo,Uruguay,United States,Belgium,3–0,3,0,3,-3,home team win,1,0,0,United States,Belgium,1930
1930 FIFA World Cup,Yugoslavia v Brazil,group stage,Group 2,1,0,7/14/1930,Montevideo,Uruguay,Yugoslavia,Brazil,2–1,2,1,1,-1,home team win,1,0,0,Yugoslavia,Brazil,1930
1930 FIFA World Cup,Romania v Peru,group stage,Group 3,1,0,7/14/1930,Montevideo,Uruguay,Romania,Peru,3–1,3,1,2,-2,home team win,1,0,0,Romania,Peru,1930
1930 FIFA World Cup,Argentina v France,group stage,Group 1,1,0,7/15/1930,Montevideo,Uruguay,Argentina,France,1–0,1,0,1,-1,home team win,1,0,0,Argentina,France,1930
1930 FIFA World Cup,Chile v Mexico,group stage,Group 1,1,0,7/16/1930,Montevideo,Uruguay,Chile,Mexico,3–0,3,0,3,-3,home team win,1,0,0,Chile,Mexico,1930
1930 FIFA World Cup,Yugoslavia v Bolivia,group stage,Group 2,1,0,7/17/1930,Montevideo,Uruguay,Yugoslavia,Bolivia,4–0,4,0,4,-4,home team win,1,0,0,Yugoslavia,Bolivia,1930
1930 FIFA World Cup,United States v Paraguay,group stage,Group 4,1,0,7/17/1930,Montevideo,Uruguay,United States,Paraguay,3–0,3,0,3,-3,home team win,1,0,0,United States,Paraguay,1930
1930 FIFA World Cup,Uruguay v Peru,group stage,Group 3,1,0,7/18/1930,Montevideo,Uruguay,Uruguay,Peru,1–0,1,0,1,-1,home team win,1,0,0,Uruguay,Peru,1930
1930 FIFA World Cup,Chile v France,group stage,Group 1,1,0,7/19/1930,Montevideo,Uruguay,Chile,France,1–0,1,0,1,-1,home team win,1,0,0,Chile,France,1930
